number          |    site_ID          |  site_type          |  longitude          |   latitude          | site_deployment_year          |    cell_ID          | configuration          |       band          |         BW          | cell_range_km          | cell_direction_az          | cell_capacity_Mbps          | cell_throughput_Mbps          | cell_deployment_year          | owned_transmission
18		|		s35		|		rent_rooftop		|		750.00000		|		1299.03811		|		2003		|		Eca1#8		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		0.185685268964590		|		2015		|		0
18		|		s35		|		rent_rooftop		|		750.00000		|		1299.03811		|		2003		|		Eca1#9		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		0.957423052125833		|		2015		|		0
19		|		s36		|		rent_rooftop		|		750.00000		|		-692.82032		|		2003		|		Eca1#109		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		9.859533337494980		|		2015		|		0
19		|		s36		|		rent_rooftop		|		750.00000		|		-692.82032		|		2003		|		Eca1#110		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		2.813771489258647		|		2015		|		0
19		|		s36		|		rent_rooftop		|		750.00000		|		-692.82032		|		2003		|		Eca1#111		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		2.217881584821538		|		2015		|		0
20		|		s38		|		rent_rooftop		|		0.00000		|		0.00000		|		2006		|		Eca1#67		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		10.718475144649775		|		2015		|		0
20		|		s38		|		rent_rooftop		|		0.00000		|		0.00000		|		2006		|		Eca1#68		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		2.074023669907687		|		2015		|		0
20		|		s38		|		rent_rooftop		|		0.00000		|		0.00000		|		2006		|		Eca1#69		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		3.432821832851389		|		2015		|		0
21		|		s39		|		shared_rent_rooftop		|		1100.00000		|		-1299.03811		|		2004		|		Eca6#31		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		90.000		|		120.162963867187500		|		6.940592984276978		|		2016		|		0
21		|		s39		|		shared_rent_rooftop		|		1100.00000		|		-1299.03811		|		2004		|		Eca6#32		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		210.000		|		120.162963867187500		|		5.880324066935843		|		2016		|		0
